city,years,smartmeter_cut,smartmeter_cut_count,companies
'T HAANTJE,2013,5,3,enexis
'T HAANTJE,2013,15,1,enexis
'T HAANTJE,2014,5,2,enexis
'T HAANTJE,2014,15,2,enexis
'T HAANTJE,2015,5,2,enexis
'T HAANTJE,2015,15,2,enexis
'T HAANTJE,2016,5,1,enexis
'T HAANTJE,2016,15,2,enexis
'T HAANTJE,2016,25,1,enexis
'T HAANTJE,2017,15,1,enexis
'T HAANTJE,2017,25,2,enexis
'T HAANTJE,2017,35,1,enexis
'T HAANTJE,2018,15,1,enexis
'T HAANTJE,2018,25,3,enexis
'T HAANTJE,2019,65,3,enexis
'T HAANTJE,2019,75,1,enexis
'T HARDE,2010,5,135,liander
'T HARDE,2011,5,131,liander
'T HARDE,2011,15,2,liander
'T HARDE,2011,35,1,liander
'T HARDE,2011,45,1,liander
'T HARDE,2011,55,1,liander
'T HARDE,2011,75,1,liander
'T HARDE,2011,85,1,liander
'T HARDE,2012,5,131,liander
'T HARDE,2012,15,3,liander
'T HARDE,2012,35,1,liander
'T HARDE,2012,45,1,liander
'T HARDE,2012,55,1,liander
'T HARDE,2012,65,1,liander
'T HARDE,2012,85,1,liander
'T HARDE,2013,5,133,liander
'T HARDE,2013,15,6,liander
'T HARDE,2013,25,1,liander
'T HARDE,2013,45,1,liander
'T HARDE,2013,65,1,liander
'T HARDE,2013,85,1,liander
'T HARDE,2014,5,121,liander
'T HARDE,2014,15,14,liander
'T HARDE,2014,25,2,liander
'T HARDE,2014,55,1,liander
'T HARDE,2014,75,2,liander
'T HARDE,2014,85,1,liander
'T HARDE,2015,5,111,liander
'T HARDE,2015,15,20,liander
'T HARDE,2015,25,6,liander
'T HARDE,2015,35,2,liander
'T HARDE,2015,55,1,liander
'T HARDE,2015,75,1,liander
'T HARDE,2015,85,2,liander
'T HARDE,2016,5,97,liander
'T HARDE,2016,15,33,liander
'T HARDE,2016,25,4,liander
'T HARDE,2016,35,3,liander
'T HARDE,2016,45,2,liander
'T HARDE,2016,55,1,liander
'T HARDE,2016,75,1,liander
'T HARDE,2016,85,2,liander
'T HARDE,2017,5,66,liander
'T HARDE,2017,15,53,liander
'T HARDE,2017,25,14,liander
'T HARDE,2017,35,4,liander
'T HARDE,2017,45,1,liander
'T HARDE,2017,55,2,liander
'T HARDE,2017,65,1,liander
'T HARDE,2017,75,1,liander
'T HARDE,2017,85,1,liander
'T HARDE,2018,5,47,liander
'T HARDE,2018,15,55,liander
'T HARDE,2018,25,29,liander
'T HARDE,2018,35,4,liander
'T HARDE,2018,45,3,liander
'T HARDE,2018,55,3,liander
'T HARDE,2018,65,1,liander
'T HARDE,2018,85,2,liander
'T HARDE,2019,5,34,liander
'T HARDE,2019,15,49,liander
'T HARDE,2019,25,37,liander
'T HARDE,2019,35,15,liander
'T HARDE,2019,45,3,liander
'T HARDE,2019,55,4,liander
'T HARDE,2019,75,1,liander
'T HARDE,2019,85,2,liander
'T LOO OLDEBROEK,2010,5,21,liander
'T LOO OLDEBROEK,2011,5,20,liander
'T LOO OLDEBROEK,2012,5,20,liander
'T LOO OLDEBROEK,2013,5,19,liander
'T LOO OLDEBROEK,2013,15,1,liander
'T LOO OLDEBROEK,2014,5,16,liander
