city,years,c_per_conn_cut,c_per_conn_cut_count,companies
'S-GRAVENHAGE,2019,190,559,stedin
'S-HEERENBERG,2010,30,5,liander
'S-HEERENBERG,2010,50,30,liander
'S-HEERENBERG,2010,70,33,liander
'S-HEERENBERG,2010,90,31,liander
'S-HEERENBERG,2010,110,23,liander
'S-HEERENBERG,2010,130,15,liander
'S-HEERENBERG,2010,150,8,liander
'S-HEERENBERG,2010,170,9,liander
'S-HEERENBERG,2010,190,21,liander
'S-HEERENBERG,2011,30,6,liander
'S-HEERENBERG,2011,50,28,liander
'S-HEERENBERG,2011,70,37,liander
'S-HEERENBERG,2011,90,32,liander
'S-HEERENBERG,2011,110,21,liander
'S-HEERENBERG,2011,130,14,liander
'S-HEERENBERG,2011,150,10,liander
'S-HEERENBERG,2011,170,6,liander
'S-HEERENBERG,2011,190,22,liander
'S-HEERENBERG,2012,30,7,liander
'S-HEERENBERG,2012,50,25,liander
'S-HEERENBERG,2012,70,38,liander
'S-HEERENBERG,2012,90,31,liander
'S-HEERENBERG,2012,110,21,liander
'S-HEERENBERG,2012,130,12,liander
'S-HEERENBERG,2012,150,11,liander
'S-HEERENBERG,2012,170,9,liander
'S-HEERENBERG,2012,190,24,liander
'S-HEERENBERG,2013,30,9,liander
'S-HEERENBERG,2013,50,36,liander
'S-HEERENBERG,2013,70,39,liander
'S-HEERENBERG,2013,90,25,liander
'S-HEERENBERG,2013,110,22,liander
'S-HEERENBERG,2013,130,13,liander
'S-HEERENBERG,2013,150,12,liander
'S-HEERENBERG,2013,170,4,liander
'S-HEERENBERG,2013,190,20,liander
'S-HEERENBERG,2014,30,12,liander
'S-HEERENBERG,2014,50,36,liander
'S-HEERENBERG,2014,70,38,liander
'S-HEERENBERG,2014,90,33,liander
'S-HEERENBERG,2014,110,19,liander
'S-HEERENBERG,2014,130,15,liander
'S-HEERENBERG,2014,150,10,liander
'S-HEERENBERG,2014,170,4,liander
'S-HEERENBERG,2014,190,18,liander
'S-HEERENBERG,2015,30,15,liander
'S-HEERENBERG,2015,50,40,liander
'S-HEERENBERG,2015,70,42,liander
'S-HEERENBERG,2015,90,28,liander
'S-HEERENBERG,2015,110,22,liander
'S-HEERENBERG,2015,130,10,liander
'S-HEERENBERG,2015,150,8,liander
'S-HEERENBERG,2015,170,2,liander
'S-HEERENBERG,2015,190,18,liander
'S-HEERENBERG,2016,10,3,liander
'S-HEERENBERG,2016,30,13,liander
'S-HEERENBERG,2016,50,46,liander
'S-HEERENBERG,2016,70,40,liander
'S-HEERENBERG,2016,90,29,liander
'S-HEERENBERG,2016,110,18,liander
'S-HEERENBERG,2016,130,8,liander
'S-HEERENBERG,2016,150,8,liander
'S-HEERENBERG,2016,170,2,liander
'S-HEERENBERG,2016,190,20,liander
'S-HEERENBERG,2017,10,3,liander
'S-HEERENBERG,2017,30,17,liander
'S-HEERENBERG,2017,50,44,liander
'S-HEERENBERG,2017,70,43,liander
'S-HEERENBERG,2017,90,29,liander
'S-HEERENBERG,2017,110,15,liander
'S-HEERENBERG,2017,130,9,liander
'S-HEERENBERG,2017,150,7,liander
'S-HEERENBERG,2017,170,1,liander
'S-HEERENBERG,2017,190,20,liander
'S-HEERENBERG,2018,10,2,liander
'S-HEERENBERG,2018,30,18,liander
'S-HEERENBERG,2018,50,39,liander
'S-HEERENBERG,2018,70,46,liander
'S-HEERENBERG,2018,90,27,liander
'S-HEERENBERG,2018,110,18,liander
'S-HEERENBERG,2018,130,9,liander
'S-HEERENBERG,2018,150,4,liander
'S-HEERENBERG,2018,170,7,liander
'S-HEERENBERG,2018,190,18,liander
'S-HEERENBERG,2019,10,2,liander
'S-HEERENBERG,2019,30,19,liander
'S-HEERENBERG,2019,50,41,liander
'S-HEERENBERG,2019,70,43,liander
'S-HEERENBERG,2019,90,29,liander
'S-HEERENBERG,2019,110,18,liander
'S-HEERENBERG,2019,130,10,liander
'S-HEERENBERG,2019,150,6,liander
'S-HEERENBERG,2019,170,5,liander
'S-HEERENBERG,2019,190,17,liander
'S-HEERENBROEK,2010,50,1,enexis
'S-HEERENBROEK,2010,70,1,enexis
'S-HEERENBROEK,2010,90,1,enexis
'S-HEERENBROEK,2010,130,2,enexis
'S-HEERENBROEK,2010,170,2,enexis
'S-HEERENBROEK,2010,190,1,enexis
'S-HEERENBROEK,2011,50,1,enexis
'S-HEERENBROEK,2011,70,1,enexis
'S-HEERENBROEK,2011,90,1,enexis
'S-HEERENBROEK,2011,130,2,enexis
'S-HEERENBROEK,2011,170,3,enexis
'S-HEERENBROEK,2012,50,1,enexis
'S-HEERENBROEK,2012,70,1,enexis
'S-HEERENBROEK,2012,90,1,enexis
'S-HEERENBROEK,2012,110,1,enexis
'S-HEERENBROEK,2012,130,1,enexis
'S-HEERENBROEK,2012,170,2,enexis
'S-HEERENBROEK,2012,190,1,enexis
'S-HEERENBROEK,2013,50,1,enexis
'S-HEERENBROEK,2013,70,1,enexis
'S-HEERENBROEK,2013,90,1,enexis
'S-HEERENBROEK,2013,110,1,enexis
'S-HEERENBROEK,2013,130,1,enexis
'S-HEERENBROEK,2013,150,1,enexis
'S-HEERENBROEK,2013,170,2,enexis
'S-HEERENBROEK,2014,50,1,enexis
'S-HEERENBROEK,2014,70,1,enexis
'S-HEERENBROEK,2014,90,1,enexis
'S-HEERENBROEK,2014,110,2,enexis
'S-HEERENBROEK,2014,150,2,enexis
'S-HEERENBROEK,2014,170,1,enexis
'S-HEERENBROEK,2015,50,2,enexis
'S-HEERENBROEK,2015,90,1,enexis
'S-HEERENBROEK,2015,110,2,enexis
'S-HEERENBROEK,2015,130,1,enexis
'S-HEERENBROEK,2015,150,2,enexis
'S-HEERENBROEK,2016,50,2,enexis
'S-HEERENBROEK,2016,90,1,enexis
'S-HEERENBROEK,2016,110,2,enexis
'S-HEERENBROEK,2016,130,1,enexis
'S-HEERENBROEK,2016,150,2,enexis
'S-HEERENBROEK,2017,50,2,enexis
'S-HEERENBROEK,2017,90,1,enexis
'S-HEERENBROEK,2017,110,2,enexis
'S-HEERENBROEK,2017,130,1,enexis
'S-HEERENBROEK,2017,150,2,enexis
'S-HEERENBROEK,2017,190,1,enexis
'S-HEERENBROEK,2018,50,2,enexis
'S-HEERENBROEK,2018,90,1,enexis
'S-HEERENBROEK,2018,110,2,enexis
'S-HEERENBROEK,2018,130,2,enexis
'S-HEERENBROEK,2018,150,1,enexis
'S-HEERENBROEK,2018,170,2,enexis
'S-HEERENBROEK,2019,50,2,enexis
'S-HEERENBROEK,2019,90,2,enexis
'S-HEERENBROEK,2019,110,2,enexis
'S-HEERENBROEK,2019,130,1,enexis
'S-HEERENBROEK,2019,150,1,enexis
'S-HEERENBROEK,2019,170,2,enexis
'S-HERTOGENBOSCH,2010,10,107,enexis
'S-HERTOGENBOSCH,2010,30,133,enexis
'S-HERTOGENBOSCH,2010,50,283,enexis
'S-HERTOGENBOSCH,2010,70,386,enexis
'S-HERTOGENBOSCH,2010,90,342,enexis
'S-HERTOGENBOSCH,2010,110,269,enexis
'S-HERTOGENBOSCH,2010,130,151,enexis
'S-HERTOGENBOSCH,2010,150,104,enexis
'S-HERTOGENBOSCH,2010,170,80,enexis
'S-HERTOGENBOSCH,2010,190,214,enexis
'S-HERTOGENBOSCH,2011,10,102,enexis
'S-HERTOGENBOSCH,2011,30,145,enexis
'S-HERTOGENBOSCH,2011,50,282,enexis
'S-HERTOGENBOSCH,2011,70,411,enexis
'S-HERTOGENBOSCH,2011,90,343,enexis
'S-HERTOGENBOSCH,2011,110,253,enexis
'S-HERTOGENBOSCH,2011,130,157,enexis
'S-HERTOGENBOSCH,2011,150,97,enexis
'S-HERTOGENBOSCH,2011,170,79,enexis
'S-HERTOGENBOSCH,2011,190,215,enexis
'S-HERTOGENBOSCH,2012,10,110,enexis
'S-HERTOGENBOSCH,2012,30,168,enexis
'S-HERTOGENBOSCH,2012,50,347,enexis
'S-HERTOGENBOSCH,2012,70,424,enexis
'S-HERTOGENBOSCH,2012,90,331,enexis
'S-HERTOGENBOSCH,2012,110,239,enexis
'S-HERTOGENBOSCH,2012,130,131,enexis
'S-HERTOGENBOSCH,2012,150,108,enexis
'S-HERTOGENBOSCH,2012,170,60,enexis
'S-HERTOGENBOSCH,2012,190,187,enexis
'S-HERTOGENBOSCH,2013,10,114,enexis
'S-HERTOGENBOSCH,2013,30,186,enexis
'S-HERTOGENBOSCH,2013,50,373,enexis
'S-HERTOGENBOSCH,2013,70,447,enexis
'S-HERTOGENBOSCH,2013,90,304,enexis
'S-HERTOGENBOSCH,2013,110,229,enexis
'S-HERTOGENBOSCH,2013,130,127,enexis
'S-HERTOGENBOSCH,2013,150,111,enexis
'S-HERTOGENBOSCH,2013,170,59,enexis
'S-HERTOGENBOSCH,2013,190,169,enexis
'S-HERTOGENBOSCH,2014,10,110,enexis
'S-HERTOGENBOSCH,2014,30,196,enexis
'S-HERTOGENBOSCH,2014,50,401,enexis
'S-HERTOGENBOSCH,2014,70,445,enexis
'S-HERTOGENBOSCH,2014,90,309,enexis
'S-HERTOGENBOSCH,2014,110,221,enexis
'S-HERTOGENBOSCH,2014,130,136,enexis
'S-HERTOGENBOSCH,2014,150,94,enexis
'S-HERTOGENBOSCH,2014,170,62,enexis
'S-HERTOGENBOSCH,2014,190,163,enexis
'S-HERTOGENBOSCH,2015,10,119,enexis
'S-HERTOGENBOSCH,2015,30,225,enexis
'S-HERTOGENBOSCH,2015,50,427,enexis
'S-HERTOGENBOSCH,2015,70,433,enexis
'S-HERTOGENBOSCH,2015,90,301,enexis
'S-HERTOGENBOSCH,2015,110,216,enexis
'S-HERTOGENBOSCH,2015,130,128,enexis
'S-HERTOGENBOSCH,2015,150,90,enexis
'S-HERTOGENBOSCH,2015,170,60,enexis
'S-HERTOGENBOSCH,2015,190,138,enexis
'S-HERTOGENBOSCH,2016,10,126,enexis
'S-HERTOGENBOSCH,2016,30,245,enexis
'S-HERTOGENBOSCH,2016,50,465,enexis
'S-HERTOGENBOSCH,2016,70,422,enexis
'S-HERTOGENBOSCH,2016,90,307,enexis
'S-HERTOGENBOSCH,2016,110,201,enexis
'S-HERTOGENBOSCH,2016,130,108,enexis
'S-HERTOGENBOSCH,2016,150,90,enexis
'S-HERTOGENBOSCH,2016,170,52,enexis
'S-HERTOGENBOSCH,2016,190,131,enexis
'S-HERTOGENBOSCH,2017,10,129,enexis
'S-HERTOGENBOSCH,2017,30,267,enexis
'S-HERTOGENBOSCH,2017,50,477,enexis
'S-HERTOGENBOSCH,2017,70,439,enexis
'S-HERTOGENBOSCH,2017,90,280,enexis
