city,years,companies,annual_consume
BRUMMEN,2015,liander,937.482
BRUMMEN,2016,liander,933.06
BRUMMEN,2017,liander,911.215
BRUMMEN,2018,liander,911.724
BRUMMEN,2019,liander,893.364
BRUNSSUM,2010,enexis,2668.44
BRUNSSUM,2011,enexis,2669.89
BRUNSSUM,2012,enexis,2593.33
BRUNSSUM,2013,enexis,2659.63
BRUNSSUM,2014,enexis,2617.73
BRUNSSUM,2015,enexis,2513.24
BRUNSSUM,2016,enexis,2472.34
BRUNSSUM,2017,enexis,2429.97
BRUNSSUM,2018,enexis,2456.29
BRUNSSUM,2019,enexis,2408.95
BRUNTINGE,2018,enexis,25.309
BRUNTINGE,2019,enexis,26.442
BUCHTEN,2010,enexis,193.73
BUCHTEN,2011,enexis,202.291
BUCHTEN,2012,enexis,202.785
BUCHTEN,2013,enexis,205.55
BUCHTEN,2014,enexis,194.979
BUCHTEN,2015,enexis,186.139
BUCHTEN,2016,enexis,182.83
BUCHTEN,2017,enexis,179.733
BUCHTEN,2018,enexis,179.322
BUCHTEN,2019,enexis,174.122
BUDEL,2010,enexis,1076.18
BUDEL,2011,enexis,1074.66
BUDEL,2012,enexis,1080.83
BUDEL,2013,enexis,1069.16
BUDEL,2014,enexis,1074.28
BUDEL,2015,enexis,1029.85
BUDEL,2016,enexis,1011.15
BUDEL,2017,enexis,978.729
BUDEL,2018,enexis,1060.17
BUDEL,2019,enexis,1050.74
BUDEL-DORPLEIN,2010,enexis,149.748
BUDEL-DORPLEIN,2011,enexis,155.476
BUDEL-DORPLEIN,2012,enexis,150.103
BUDEL-DORPLEIN,2013,enexis,149.63
BUDEL-DORPLEIN,2014,enexis,149.728
BUDEL-DORPLEIN,2015,enexis,145.634
BUDEL-DORPLEIN,2016,enexis,139.381
BUDEL-DORPLEIN,2017,enexis,136.654
BUDEL-DORPLEIN,2018,enexis,147.861
BUDEL-DORPLEIN,2019,enexis,149.326
BUDEL-SCHOOT,2010,enexis,221.535
BUDEL-SCHOOT,2011,enexis,217.581
BUDEL-SCHOOT,2012,enexis,221.172
BUDEL-SCHOOT,2013,enexis,216.036
