city,years,smartmeter_cut,smartmeter_cut_count,companies
'T VELD,2017,55,3,liander
'T VELD,2017,65,1,liander
'T VELD,2017,75,13,liander
'T VELD,2017,85,13,liander
'T VELD,2017,95,8,liander
'T VELD,2018,45,1,liander
'T VELD,2018,55,4,liander
'T VELD,2018,65,1,liander
'T VELD,2018,75,11,liander
'T VELD,2018,85,13,liander
'T VELD,2018,95,9,liander
'T VELD,2019,45,1,liander
'T VELD,2019,55,2,liander
'T VELD,2019,65,1,liander
'T VELD,2019,75,12,liander
'T VELD,2019,85,10,liander
'T VELD,2019,95,13,liander
'T WAAR,2010,5,3,enexis
'T WAAR,2011,5,3,enexis
'T WAAR,2012,5,3,enexis
'T WAAR,2013,5,3,enexis
'T WAAR,2014,5,3,enexis
'T WAAR,2015,15,3,enexis
'T WAAR,2016,15,3,enexis
'T WAAR,2017,25,3,enexis
'T WAAR,2018,35,3,enexis
'T WAAR,2018,45,2,enexis
'T WAAR,2019,45,2,enexis
'T WAAR,2019,55,3,enexis
'T ZAND NH,2010,5,54,liander
'T ZAND NH,2011,5,55,liander
'T ZAND NH,2012,5,55,liander
'T ZAND NH,2013,5,51,liander
'T ZAND NH,2013,15,4,liander
'T ZAND NH,2013,35,1,liander
'T ZAND NH,2013,95,1,liander
'T ZAND NH,2014,5,42,liander
'T ZAND NH,2014,15,9,liander
'T ZAND NH,2014,25,5,liander
'T ZAND NH,2014,45,1,liander
'T ZAND NH,2014,85,1,liander
'T ZAND NH,2014,95,1,liander
'T ZAND NH,2015,5,31,liander
'T ZAND NH,2015,15,15,liander
'T ZAND NH,2015,25,9,liander
'T ZAND NH,2015,35,1,liander
'T ZAND NH,2015,45,1,liander
'T ZAND NH,2015,85,1,liander
'T ZAND NH,2015,95,1,liander
'T ZAND NH,2016,5,26,liander
'T ZAND NH,2016,15,19,liander
'T ZAND NH,2016,25,10,liander
'T ZAND NH,2016,35,1,liander
'T ZAND NH,2016,45,1,liander
'T ZAND NH,2016,85,1,liander
'T ZAND NH,2016,95,1,liander
'T ZAND NH,2017,5,14,liander
'T ZAND NH,2017,15,19,liander
'T ZAND NH,2017,25,6,liander
'T ZAND NH,2017,35,8,liander
'T ZAND NH,2017,45,6,liander
'T ZAND NH,2017,55,3,liander
'T ZAND NH,2017,75,1,liander
'T ZAND NH,2017,85,1,liander
'T ZAND NH,2017,95,1,liander
'T ZAND NH,2018,25,2,liander
'T ZAND NH,2018,35,4,liander
'T ZAND NH,2018,45,5,liander
'T ZAND NH,2018,55,8,liander
'T ZAND NH,2018,65,4,liander
'T ZAND NH,2018,75,12,liander
'T ZAND NH,2018,85,16,liander
'T ZAND NH,2018,95,8,liander
'T ZAND NH,2019,25,2,liander
'T ZAND NH,2019,35,4,liander
'T ZAND NH,2019,45,5,liander
'T ZAND NH,2019,55,5,liander
'T ZAND NH,2019,65,6,liander
'T ZAND NH,2019,75,12,liander
'T ZAND NH,2019,85,16,liander
'T ZAND NH,2019,95,9,liander
'T ZANDT GN,2010,5,17,enexis
'T ZANDT GN,2011,5,17,enexis
'T ZANDT GN,2012,5,18,enexis
'T ZANDT GN,2013,5,18,enexis
'T ZANDT GN,2014,5,18,enexis
'T ZANDT GN,2015,15,18,enexis
'T ZANDT GN,2016,15,18,enexis
'T ZANDT GN,2017,25,14,enexis
'T ZANDT GN,2017,35,3,enexis
'T ZANDT GN,2018,35,10,enexis
'T ZANDT GN,2018,45,10,enexis
'T ZANDT GN,2019,45,7,enexis
'T ZANDT GN,2019,55,13,enexis
1E EXLOERMOND,2010,5,6,enexis
1E EXLOERMOND,2011,5,6,enexis
1E EXLOERMOND,2012,5,6,enexis
1E EXLOERMOND,2013,5,6,enexis
1E EXLOERMOND,2014,5,6,enexis
1E EXLOERMOND,2015,15,6,enexis
1E EXLOERMOND,2016,15,6,enexis
1E EXLOERMOND,2017,25,6,enexis
1E EXLOERMOND,2018,35,5,enexis
1E EXLOERMOND,2018,45,1,enexis
1E EXLOERMOND,2019,45,3,enexis
1E EXLOERMOND,2019,55,3,enexis
2E EXLOERMOND,2010,5,48,enexis
2E EXLOERMOND,2011,5,48,enexis
2E EXLOERMOND,2012,5,48,enexis
2E EXLOERMOND,2013,5,52,enexis
2E EXLOERMOND,2014,5,52,enexis
2E EXLOERMOND,2015,5,1,enexis
2E EXLOERMOND,2015,15,50,enexis
2E EXLOERMOND,2016,15,53,enexis
2E EXLOERMOND,2017,25,46,enexis
2E EXLOERMOND,2017,35,7,enexis
2E EXLOERMOND,2018,35,22,enexis
2E EXLOERMOND,2018,45,33,enexis
2E EXLOERMOND,2019,35,1,enexis
2E EXLOERMOND,2019,45,16,enexis
2E EXLOERMOND,2019,55,37,enexis
2E EXLOERMOND,2019,65,1,enexis
2E VALTHERMOND,2010,5,3,enexis
2E VALTHERMOND,2011,5,3,enexis
2E VALTHERMOND,2012,5,2,enexis
2E VALTHERMOND,2013,5,3,enexis
2E VALTHERMOND,2014,5,3,enexis
2E VALTHERMOND,2015,5,1,enexis
2E VALTHERMOND,2015,15,2,enexis
2E VALTHERMOND,2016,15,3,enexis
2E VALTHERMOND,2017,25,3,enexis
2E VALTHERMOND,2018,35,3,enexis
2E VALTHERMOND,2019,35,1,enexis
2E VALTHERMOND,2019,45,2,enexis
AALDEN,2010,5,31,enexis
AALDEN,2011,5,31,enexis
AALDEN,2012,5,32,enexis
AALDEN,2013,5,32,enexis
AALDEN,2014,5,34,enexis
AALDEN,2015,5,4,enexis
AALDEN,2015,15,30,enexis
AALDEN,2016,15,34,enexis
AALDEN,2017,15,1,enexis
AALDEN,2017,25,26,enexis
AALDEN,2017,35,7,enexis
AALDEN,2018,25,3,enexis
AALDEN,2018,35,13,enexis
AALDEN,2018,45,24,enexis
AALDEN,2019,25,1,enexis
AALDEN,2019,35,3,enexis
AALDEN,2019,45,11,enexis
AALDEN,2019,55,24,enexis
